var,HR,stderr,pval,ci_lower,ci_upper,N,drug,analysis,covariates,outcome,N_sub,N_fail,age
"treatment",1.192096,.0200315,0,1.1462,1.239829,2148736,"Statins","P2","full","Other dementia",1668974,10834,"All"
"treatment",.6544231,.5004992,.396908,.2453765,1.745358,1106028,"Omega-3 Fatty Acid Groups","P2","full","Other dementia",1105420,4987,"All"
"treatment",.5652212,1.000939,.5686757,.0794726,4.019937,1104680,"hc_nag","P2","full","Other dementia",1104608,4984,"All"
"treatment",1.368453,.1704556,.0657315,.9798009,1.911269,1110763,"Fibrates","P2","full","Other dementia",1108192,5019,"All"
"treatment",4.34e-19,0,,4.34e-19,4.34e-19,1104689,"hc_eze_sta","P2","full","Other dementia",1104573,4983,"All"
"treatment",1.902795,.3168282,.0423044,1.022604,3.540598,1105862,"Ezetimibe","P2","full","Other dementia",1105180,4995,"All"
"treatment",.945609,.2050377,.7850378,.6326787,1.413318,1111992,"Bile acid sequestrants","P2","full","Other dementia",1109716,5009,"All"
"treatment",.9665867,.0208784,.1035841,.9278314,1.006961,2147307,"Statins","P2","full","Possible AD",1668168,10028,"All"
"treatment",.4887404,.5777933,.2153212,.1574924,1.51669,1105996,"Omega-3 Fatty Acid Groups","P2","full","Possible AD",1105389,4956,"All"
"treatment",.4383801,1.000785,.4099271,.0616568,3.116884,1104649,"hc_nag","P2","full","Possible AD",1104577,4953,"All"
"treatment",1.077584,.1751567,.6696733,.7644646,1.518954,1110725,"Fibrates","P2","full","Possible AD",1108161,4988,"All"
"treatment",5.31e-20,0,,5.31e-20,5.31e-20,1104658,"hc_eze_sta","P2","full","Possible AD",1104542,4952,"All"
"treatment",.5843417,.5776465,.352319,.1883533,1.812844,1105817,"Ezetimibe","P2","full","Possible AD",1105142,4957,"All"
"treatment",.982572,.1934015,.9275659,.672575,1.43545,1111971,"Bile acid sequestrants","P2","full","Possible AD",1109692,4985,"All"
"treatment",1.806458,.0230618,0,1.726623,1.889984,2146232,"Statins","P2","full","Vascular dementia",1666627,8487,"All"
"treatment",1.516643,.4481838,.3527313,.6300696,3.650716,1103793,"Omega-3 Fatty Acid Groups","P2","full","Vascular dementia",1103183,2750,"All"
"treatment",1.701313,.7100325,.4542086,.4230615,6.841715,1102444,"hc_nag","P2","full","Vascular dementia",1102370,2746,"All"
"treatment",1.281212,.2286481,.2784584,.8184559,2.00561,1108501,"Fibrates","P2","full","Vascular dementia",1105938,2765,"All"
"treatment",6.44e-20,0,,6.44e-20,6.44e-20,1102450,"hc_eze_sta","P2","full","Vascular dementia",1102334,2744,"All"
"treatment",2.346543,.378856,.0243624,1.116723,4.930731,1103614,"Ezetimibe","P2","full","Vascular dementia",1102936,2751,"All"
"treatment",1.260816,.2371956,.3285298,.7920459,2.007026,1109748,"Bile acid sequestrants","P2","full","Vascular dementia",1107470,2763,"All"
"treatment",.9822007,.0186362,.3352012,.9469718,1.01874,2150951,"Statins","P2","full","Probable AD",1670801,12661,"All"
"treatment",.5446143,.5003574,.2245619,.2042604,1.452092,1107554,"Omega-3 Fatty Acid Groups","P2","full","Probable AD",1106945,6512,"All"
"treatment",5.07e-20,0,,5.07e-20,5.07e-20,1106204,"hc_nag","P2","full","Probable AD",1106132,6508,"All"
"treatment",1.573964,.1493842,.0023938,1.174462,2.109361,1112314,"Fibrates","P2","full","Probable AD",1109730,6557,"All"
"treatment",6.48e-20,0,,6.48e-20,6.48e-20,1106214,"hc_eze_sta","P2","full","Probable AD",1106098,6508,"All"
"treatment",1.180006,.353936,.6400326,.5896757,2.36132,1107381,"Ezetimibe","P2","full","Probable AD",1106701,6516,"All"
"treatment",.7983159,.1968124,.2524182,.54281,1.174091,1113525,"Bile acid sequestrants","P2","full","Probable AD",1111244,6537,"All"
"treatment",1.165557,.0101639,0,1.142567,1.189008,2192039,"Statins","P2 - Imputed","full","Any dementia",1700150,42010,"All"
"treatment",.7050552,.2502849,.1626166,.4316981,1.151506,1120254,"Omega-3 Fatty Acid Groups","P2 - Imputed","full","Any dementia",1119638,19205,"All"
"treatment",.565086,.5004553,.2540714,.2118977,1.506964,1118889,"hc_nag","P2 - Imputed","full","Any dementia",1118815,19191,"All"
"treatment",1.290006,.0874179,.00358,1.086879,1.531094,1125140,"Fibrates","P2 - Imputed","full","Any dementia",1122502,19329,"All"
"treatment",2.59e-20,0,,2.59e-20,2.59e-20,1118893,"hc_eze_sta","P2 - Imputed","full","Any dementia",1118777,19187,"All"
"treatment",1.379291,.1893464,.0894483,.9516649,1.99907,1120103,"Ezetimibe","P2 - Imputed","full","Any dementia",1119404,19219,"All"
"treatment",.9590194,.1030946,.6848316,.7835616,1.173766,1126305,"Bile acid sequestrants","P2 - Imputed","full","Any dementia",1124001,19294,"All"
