model,cohort,term,outcome,yi,sei
common,CAPS,Total cholesterol,Dementia,-0.0474,0.0689
common,CAPS,HDL-c,Dementia,-0.0328,0.0691
common,CAPS,LDL-c,Dementia,-0.0462,0.0698
common,CAPS,Triglycerides,Dementia,-0.018,0.0706
common,EPIC,Total cholesterol,Dementia,0.398,0.421
common,EPIC,HDL-c,Dementia,-0.391,0.63
common,EPIC,LDL-c,Dementia,0.443,0.453
common,EPIC,Triglycerides,Dementia,0.385,0.307
common,Whitehall,Total cholesterol,Dementia,0.00599,0.064
common,Whitehall,HDL-c,Dementia,0.0694,0.0653
common,Whitehall,LDL-c,Dementia,-0.0975,0.0644
common,Whitehall,Triglycerides,Dementia,0.205,0.0434
maximum,EPIC,Total cholesterol,Dementia,0.367,0.419
maximum,EPIC,HDL-c,Dementia,-0.342,0.654
maximum,EPIC,LDL-c,Dementia,0.399,0.462
maximum,EPIC,Triglycerides,Dementia,0.397,0.311
maximum,Whitehall,Total cholesterol,Dementia,-0.0354,0.0839
maximum,Whitehall,HDL-c,Dementia,0.0416,0.0893
maximum,Whitehall,LDL-c,Dementia,-0.126,0.0849
maximum,Whitehall,Triglycerides,Dementia,0.229,0.0602
common,CAPS,Total cholesterol,dem_vas,-0.0603,0.131
common,CAPS,HDL-c,dem_vas,-0.0707,0.139
common,CAPS,LDL-c,dem_vas,-0.156,0.138
common,CAPS,Triglycerides,dem_vas,0.235,0.11
common,Whitehall,Total cholesterol,dem_vas,0.4,0.219
common,Whitehall,HDL-c,dem_vas,0.71,0.218
common,Whitehall,LDL-c,dem_vas,-0.201,0.248
common,Whitehall,Triglycerides,dem_vas,0.399,0.0803
