Variable,Whitehall II,Epic,CaPS
N,8208,1115,2512
"Age group, Median",45-49,50-54,50-54
"Male, N (%)",5679 (69.2),495 (44),2512 (100)
"BMI, Mean (SD)",25.3 (3.75),25.8 (3.58),-
"Education >18 yrs, N (%)",2576 (31.4),252 (22.6),20 (0.8)
"Smoke ever, N (%)",2678 (32),490 (43),2110 (83.9)
"Alcohol ever, N (%)",6612 (80.6),37 (3.3),2235 (89)
"Ethnicity (white), N (%)",7387 (90),1107 (99.3),-
"IHD, N (%)",7 (0.1),63 (5.7),-
"TC, Mean (SD)",6.49 (1.16),5.93 (1.08),5.93 (1.15)
"LDL-c, Mean (SD)",4.40 (1.04),3.77 (0.96),3.74 (1.12)
"HDL-c, Mean (SD)",1.43 (0.414),1.43 (0.41),1.37 (0.41)
"TG, Mean (SD)",1.49 (1.14),1.67 (1.04),1.83 (1.21)
"Dementia, N (%)",287 (3.5),8 (0.7),247 (9.8)
"Alzheimer's, N (%)",92 (1.1),-,-
"Vascular dementia, N (%)",37 (0.5),-,77 (3.1)
"Non-vascular dementia, N (%)",-,-,170 (6.8)
