,ID,title,abstract,authors,date,category,doi,version,author_corresponding,author_corresponding_institution,link_page,link_pdf,license,published,include
1,4741,"HUMAN LONGEVITY IS INFLUENCED BY MANY GENETIC VARIANTS: EVIDENCE FROM 75,000 UK BIOBANK PARTICIPANTS","Variation in human lifespan is 20 to 30% heritable but few genetic variants have been identified. We undertook a Genome Wide Association Study (GWAS) using age at death of parents of middle-aged UK Biobank participants of European decent (n=75,244 with fathers and/or mothers data). Genetic risk scores for 19 phenotypes (n=777 proven variants) were also tested.\n\nGenotyped variants (n=845,997) explained 10.2% (SD=1.3%) of combined parental longevity. In GWAS, a locus in the nicotine receptor CHRNA3 - previously associated with increased smoking and lung cancer - was associated with paternal age at death, with each protective allele (rs1051730[G]) being associated with 0.03 years later age at fathers death (p=3x10-8). Offspring of longer lived parents had more protective alleles (lower genetic risk scores) for coronary artery disease, systolic blood pressure, body mass index, cholesterol and triglyceride levels, type-1 diabetes, inflammatory bowel disease and Alzheimers disease. In candidate gene analyses, variants in the TOMM40/APOE locus were associated with longevity (including rs429358, p=3x10-5), but FOXO variants were not associated.\n\nThese results support a multiple protective factors model for achieving longer lifespans in humans, with a prominent role for cardiovascular-related pathways. Several of these genetically influenced risks, including blood pressure and tobacco exposure, are potentially modifiable.",Luke C Pilling;Janice L Atkins;Kirsty Bowman;Samuel E Jones;Jessica Tyrrell;Robin N Beaumont;Katherine S Ruth;Marcus A Tuke;Hanieh Yaghootkar;Andrew R Wood;Rachel M Freathy;Anna Murray;Michael N Weedon;Luting Xue;Kathryn Lunetta;Joanne M Murabito;Lorna W Harries;Jean-Marie Robine;Carol Brayne;George A Kuchel;Luigi Ferrucci;Timothy M Frayling;David Melzer;,01/02/2016,Genomics ,10.1101/038430,1,David Melzer,"Institute of Biomedical and Clinical Sciences, University of Exeter Medical School, UK",https://www.biorxiv.org/content/10.1101/038430v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/038430v1.full.pdf,cc_by_nc_nd,10.18632/aging.100930,
2,5793,Genetic contributions to self-reported tiredness,"Self-reported tiredness and low energy, often called fatigue, is associated with poorer physical and mental health. Twin studies have indicated that this has a heritability between 6% and 50%. In the UK Biobank sample (N = 108 976) we carried out a genome-wide association study of responses to the question, \""Over the last two weeks, how often have you felt tired or had little energy?\"" Univariate GCTA-GREML found that the proportion of variance explained by all common SNPs for this tiredness question was 8.4% (SE = 0.6%). GWAS identified one genome-wide significant hit (Affymetrix id 1:64178756_C_T; p = 1.36 x 10-11). LD score regression and polygenic profile analysis were used to test for pleiotropy between tiredness and up to 28 physical and mental health traits from GWAS consortia. Significant genetic correlations were identified between tiredness and BMI, HDL cholesterol, forced expiratory volume, grip strength, HbA1c, longevity, obesity, self-rated health, smoking status, triglycerides, type 2 diabetes, waist-hip ratio, ADHD, bipolar disorder, major depressive disorder, neuroticism, schizophrenia, and verbal-numerical reasoning (absolute rg effect sizes between 0.11 and 0.78). Significant associations were identified between tiredness phenotypic scores and polygenic profile scores for BMI, HDL cholesterol, LDL cholesterol, coronary artery disease, HbA1c, height, obesity, smoking status, triglycerides, type 2 diabetes, and waist-hip ratio, childhood cognitive ability, neuroticism, bipolar disorder, major depressive disorder, and schizophrenia (standardised {beta}s between -0.016 and 0.03). These results suggest that tiredness is a partly-heritable, heterogeneous and complex phenomenon that is phenotypically and genetically associated with affective, cognitive, personality, and physiological processes.\n\n\""Hech, sirs! But Im wabbit, Im back frae the toon;\n\nI haena dune pechin--jist let me sit doon.\n\nFrom Glesca\n\nBy William Dixon Cocker (1882-1970)",Vincent Deary;Saskia P Hagenaars;Sarah E Harris;W David Hill;Gail Davies;David Cm Liewald;International Consortium For Blood Pressure Gwas;Charge Consortium Aging And Longevity Group;Andrew M Mcintosh;Catharine R Gale;Ian J Deary;,05/04/2016,Genetics ,10.1101/047290,1,Ian J Deary,University of Edinburgh,https://www.biorxiv.org/content/10.1101/047290v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/047290v1.full.pdf,cc_no,10.1038/mp.2017.5,
3,6373,Synthetic lipid-containing scaffolds enhance production by co-localizing enzymes,"Subcellular organization is critical for isolating, concentrating, and protecting biological activities. Natural subcellular organization is often achieved using co-localization of proteins on scaffold molecules, thereby enhancing metabolic fluxes and enabling co-regulation. Synthetic scaffolds extend these benefits to new biological processes, and are typically constructed from proteins or nucleic acids. To expand the range of available building materials, we use a minimal set of components from the lipid-encapsulated bacteriophage {Phi}6 to form synthetic lipid-containing scaffolds (SLSs) in E. coli. Analysis of diffusive behavior by tracking particles in live cells indicates that SLSs are >20 nm in diameter; furthermore, density measurements demonstrate that SLSs contain a mixture of lipids and proteins. The fluorescent proteins mCitrine and mCerulean can be co-localized to SLSs. To test for effects on enzymatic production, we localized two enzymes involved in indigo biosynthesis to SLSs. We observed a scaffold-dependent increase in indigo production, showing that SLSs can enhance metabolic reactions.",Cameron A. Myhrvold;Jessica K. Polka;Pamela A. Silver;,06/05/2016,Synthetic Biology ,10.1101/052035,1,Pamela A. Silver,Harvard Medical School,https://www.biorxiv.org/content/10.1101/052035v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/052035v1.full.pdf,cc_by,10.1021/acssynbio.6b00141,
4,7232,Genomics implicates adaptive and innate immunity in Alzheimer’s and Parkinson’s,"Neurodegenerative disorders are devastating diseases with a worldwide health-care burden. Studies have demonstrated enrichment of disease-associated genetic variants with functional genomic annotations. Determining associated cell-types is important to understand pathogenicity.\n\nWe obtained GWAS summary statistics from Parkinsons disease (PD), Alzheimers disease (AD), amyotrophic lateral sclerosis (ALS), multiple sclerosis (MS), and frontotemporal dementia (FTD). We applied stratified LD score regression to determine if functional categories are enriched for heritability.\n\nThere was little enrichment of brain annotations, but annotations from both the innate and adaptive immune systems were enriched for MS (as expected), AD, and PD, in decreasing order of statistical significance.",Sarah A Gagliano;Jennie G Pouget;John Hardy;Jo Knight;Michael R Barnes;Mina Ryten;Michael E Weale;,12/10/2016,Genomics ,10.1101/059519,3,Sarah A Gagliano,King's College London,https://www.biorxiv.org/content/10.1101/059519v3?versioned=TRUE,https://www.biorxiv.org/content/10.1101/059519v3.full.pdf,cc_no,10.1002/acn3.369,
5,9688,"Genetic,transcriptome, proteomic and epidemiological evidence for blood brain barrier disruption and polymicrobial brain invasion as determinant factors in Alzheimers disease.","Multiple pathogens have been detected in Alzheimers disease (AD) brains. A bioinformatics approach was used to assess relationships between pathogens and AD genes (GWAS), the AD hippocampal transcriptome and plaque or tangle proteins. Host/pathogen interactomes (C.albicans, C.Neoformans, Bornavirus, B.Burgdorferri, cytomegalovirus, Ebola virus, HSV-1, HERV-W, HIV-1, Epstein-Barr, hepatitis C, influenza, C.Pneumoniae, P.Gingivalis, H.Pylori, T.Gondii, T.Cruzi) significantly overlap with misregulated AD hippocampal genes, with plaque and tangle proteins and, except Bornavirus, Ebola and HERV-W, with AD genes. Upregulated AD hippocampal genes match those upregulated by multiple bacteria, viruses, fungi or protozoa in immunocompetent blood cells. AD genes are enriched in bone marrow and immune locations and in GWAS datasets reflecting pathogen diversity, suggesting selection for pathogen resistance. The age of AD patients implies resistance to infections afflicting the younger. APOE4 protects against malaria and hepatitis C, and immune/inflammatory gain of function applies to APOE4, CR1, TREM2 and presenilin variants. 30/78 AD genes are expressed in the blood brain barrier (BBB), which is disrupted by AD risk factors (ageing, alcohol, aluminium, concussion, cerebral hypoperfusion, diabetes, homocysteine, hypercholesterolaemia, hypertension, obesity, pesticides, pollution, physical inactivity, sleep disruption and smoking). The BBB and AD benefit from statins, NSAIDs, oestrogen, melatonin and the Mediterranean diet. Polymicrobial involvement is supported by the upregulation of pathogen sensors/defenders (bacterial, fungal, viral) in the AD brain, blood or CSF. Cerebral pathogen invasion permitted by BBB inadequacy, activating a hyper-efficient immune/inflammatory system, betaamyloid and other antimicrobial defence may be responsible for AD which may respond to antibiotic, antifungal or antiviral therapy.",Chris J Carter;,12/10/2016,Neuroscience ,10.1101/080333,1,Chris J Carter,PolygenicPathways,https://www.biorxiv.org/content/10.1101/080333v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/080333v1.full.pdf,cc_by_nc_nd,10.3233/ADR-170017,
6,12377,Family history and APOE4 risk for Alzheimer’s Disease impact the neural correlates of episodic memory by early midlife,"Episodic memory impairment is a consistent, pronounced deficit in pre-clinical stages of late-onset Alzheimers disease (AD). Individuals with risk factors for AD exhibit altered brain function several decades prior to the onset of AD-related symptoms. In the current event-related fMRI study of spatial context memory we tested the hypothesis that middle-aged adults (MA; 40-58yrs) with a family history of late onset AD (MA+FH), or a combined +FH and apolipoprotein E {varepsilon}4 allele risk factors for AD (MA+FH+APOE4), will exhibit differences in encoding and retrieval-related brain activity, compared to - FH-APOE4 MA controls. We also hypothesized that the two at-risk MA groups will exhibit distinct patterns of correlation between brain activity and memory performance, compared to controls. To test these hypotheses we conducted multivariate task, and behavior, partial least squares analysis of fMRI data obtained during successful context encoding and retrieval. Our results indicate that even though there were no significant group differences in context memory performance, there were significant differences in brain activity and brain-behavior correlations involving hippocampus, left angular gyrus, cingulate, and precuneus in MA with AD risk factors, compared to controls. In addition, we observed that brain activity and brain-behavior correlations in anterior-medial PFC and in ventral visual cortex differentiated the two MA risk groups from each other, and from MAcontrols. This is the first study to show that there are differences in the brain areas engaged during context memory encoding and retrieval in middle-aged adults with +FH and +APOE-4 risk factors for late onset AD, compared to controls.","Rajah, M. N.; Wallace, L. M. K.; Ankudowich, E.; Yu, E.; Swierkot, A.; Patel, R.; Chakravarty, M.; Naumova, D.; Pruessner, J. C.; Joober, R.; Gauthier, S.; Pasvanis, S.",23/02/2017,Neuroscience,10.1101/102699,2,Maria Natasha Rajah,"Dept. Psychiatry, McGill University",https://www.biorxiv.org/content/10.1101/102699v2?versioned=TRUE,https://www.biorxiv.org/content/10.1101/102699v2.full.pdf,cc_no,10.1016/j.nicl.2017.03.016,
7,14174,"Genome-wide association study of alcohol consumption and genetic overlap with other health-related traits in UK Biobank (N=112,117).","Alcohol consumption has been linked to over 200 diseases and is responsible for over 5% of the global disease burden. Well known genetic variants in alcohol metabolizing genes, e.g. ALDH2, ADH1B, are strongly associated with alcohol consumption but have limited impact in European populations where they are found at low frequency. We performed a genome-wide association study (GWAS) of self-reported alcohol consumption in 112,117 individuals in the UK Biobank (UKB) sample of white British individuals. We report significant genome-wide associations at 8 independent loci. These include SNPs in alcohol metabolizing genes (ADH1B/ADH1C/ADH5) and 2 loci in KLB, a gene recently associated with alcohol consumption. We also identify SNPs at novel loci including GCKR, PXDN, CADM2 and TNFRSF11A. Gene-based analyses found significant associations with genes implicated in the neurobiology of substance use (CRHR1, DRD2), and genes previously associated with alcohol consumption (AUTS2). GCTA-GREML analyses found a significant SNP-based heritability of self-reported alcohol consumption of 13% (S.E.=0.01). Sex-specific analyses found largely overlapping GWAS loci and the genetic correlation between male and female alcohol consumption was 0.73 (S.E.=0.09, p-value = 1.37 x 10-16). Using LD score regression, genetic overlap was found between alcohol consumption and schizophrenia (rG=0.13, S.E=0.04), HDL cholesterol (rG=0.21, S.E=0.05), smoking (rG=0.49, S.E=0.06) and various anthropometric traits (e.g. Overweight, rG=-0.19, S.E.=0.05). This study replicates the association between alcohol consumption and alcohol metabolizing genes and KLB, and identifies 4 novel gene associations that should be the focus of future studies investigating the neurobiology of alcohol consumption.","Clarke, T.-K.; Adams, M. J.; Davies, G.; Howard, D. M.; Hall, L. S.; Padmanabhan, S.; Murray, A. D.; Smith, B. H.; Campbell, A.; Hayward, C.; Porteous, D. J.; Deary, I. J.; Mcintosh, A. M.",14/03/2017,Genetics,10.1101/116707,1,Toni-Kim Clarke,University of Edinburgh,https://www.biorxiv.org/content/10.1101/116707v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/116707v1.full.pdf,cc_no,10.1038/mp.2017.153,
8,15549,"Red Blood Cell Distribution Width: genetic evidence for aging pathways in 116,666 volunteers","Variability in red blood cell volumes (distribution width, RDW) increases with age and is strongly predictive of mortality, incident coronary heart disease and cancer. We investigated inherited genetic variation associated with RDW in 166,666 UK Biobank human volunteers.\n\nA large proportion RDW is explained by genetic variants (29%), especially in the older group (60+ year olds, 33.8%, <50 year olds, 28.4%). RDW was associated with 194 independent genetic signals; 71 are known for conditions including autoimmune disease, certain cancers, BMI, Alzheimers disease, longevity, age at menopause, bone density, myositis, Parkinsons disease, and age-related macular degeneration. Pathways analysis showed enrichment for telomere maintenance, ribosomal RNA and apoptosis.\n\nAlthough increased RDW is predictive of cardiovascular outcomes, this was not explained by known CVD or related lipid genetic risks. The predictive value of RDW for a range of negative health outcomes may in part be due to variants influencing fundamental pathways of aging.","Pilling, L. C.; Atkins, J. L.; Duff, M. O.; Beaumont, R. N.; Jones, S. E.; Tyrrell, J.; Kuo, C.-L.; Ruth, K. S.; Tuke, M. A.; Yaghootkar, H.; Wood, A. R.; Murray, A.; Weedon, M. N.; Harries, L. W.; Kuchel, G. A.; Ferrucci, L.; Frayling, T. M.; Melzer, D.",02/05/2017,Genomics,10.1101/128330,2,Luke C Pilling,University of Exeter,https://www.biorxiv.org/content/10.1101/128330v2?versioned=TRUE,https://www.biorxiv.org/content/10.1101/128330v2.full.pdf,cc_by_nd,10.1371/journal.pone.0185083,
9,18284,Amyloid accumulation drives proteome-wide alterations in mouse models of Alzheimers disease like pathology,"Amyloid beta (A{beta}) peptides impair multiple cellular pathways in the brain and play a causative role in Alzheimers disease (AD) pathology, but how the brain proteome is remodeled during this process is unknown. To identify new protein networks associated with AD-like pathology, we performed global quantitative proteomic analysis in three mouse models at pre- and post-symptomatic ages. Our analysis revealed a robust and consistent increase in Apolipoprotein E (ApoE) levels in nearly all transgenic brain regions with increased A{beta} levels. Taken together with prior findings on ApoE driving A{beta} accumulation, this analysis points to a pathological dysregulation of the ApoE-A{beta} axis. We also found dysregulation of protein networks involved in excitatory synaptic transmission consistent with AD pathophysiology. Targeted analysis of the AMPA receptor complex revealed a specific loss of TARP{gamma}-2, a key AMPA receptor trafficking protein. Expression of TARP{gamma}-2 in vivo in hAPP transgenic mice led to a restoration of AMPA currents. This database of proteome alterations represents a unique resource for the identification of protein alterations responsible for AD.\n\nHighlightsO_LIProteomic analysis of mouse brains with AD-like pathology reveals stark remodeling\nC_LIO_LIProteomic evidence points to a dysregulation of ApoE levels associated with A{beta} clearance rather than production\nC_LIO_LICo-expression analysis found distinctly impaired synapse and mitochondria modules\nC_LIO_LIIn-depth analyses of AMPAR complex points to loss of TARP{gamma}-2, which may compromise synapses in AD\nC_LI\n\neTOC BlurbProteome-wide profiling of brain tissue from three mouse models of AD-like pathology reveals A{beta}, brain region, and age dependent alterations of protein levels. This resource provides a new global protein expression atlas for the Alzheimers disease research community.","Savas, J. N.; Wang, Y.-Z.; Denardo, L. A.; Martinez-Bartolome, S.; Mcclatchy, D. B.; Hark, T. J.; Shanks, N. F.; Cozzolino, K. A.; Lavallee-Adam, M.; Smukowski, S. N.; Park, S. K.; Kelly, J. W.; Koo, E. H.; Nakagawa, T.; Masliah, E.; Ghosh, A.; Yates, J. R.",15/06/2017,Neuroscience,10.1101/150623,1,John R. Yates,The Scripps Research Institute,https://www.biorxiv.org/content/10.1101/150623v1?versioned=TRUE,https://www.biorxiv.org/content/10.1101/150623v1.full.pdf,cc_no,10.1016/j.celrep.2017.11.009,
10,19037,Comprehensive Benchmarking and Ensemble Approaches for Metagenomic Classifiers,"BackgroundOne of the main challenges in metagenomics is the identification of microorganisms in clinical and environmental samples. While an extensive and heterogeneous set of computational tools is available to classify microorganisms using whole genome shotgun sequencing data, comprehensive comparisons of these methods are limited. In this study, we use the largest (n=35) to date set of laboratory-generated and simulated controls across 846 species to evaluate the performance of eleven metagenomics classifiers. We also assess the effects of filtering and combining tools to reduce the number of false positives.\n\nResultsTools were characterized on the basis of their ability to (1) identify taxa at the genus, species, and strain levels, (2) quantify relative abundance measures of taxa, and (3) classify individual reads to the species level. Strikingly, the number of species identified by the eleven tools can differ by over three orders of magnitude on the same datasets. However, various strategies can ameliorate taxonomic misclassification, including abundance filtering, ensemble approaches, and tool intersection. Indeed, leveraging tools with different heuristics is beneficial for improved precision. Nevertheless, these strategies were often insufficient to completely eliminate false positives from environmental samples, which are especially important where they concern medically relevant species and where customized tools may be required.\n\nConclusionsThe results of this study provide positive controls, titrated standards, and a guide for selecting tools for metagenomic analyses by comparing ranges of precision and recall. We show that proper experimental design and analysis parameters, including depth of sequencing, choice of classifier or classifiers, database size, and filtering, can reduce false positives, provide greater resolution of species in complex metagenomic samples, and improve the interpretation of results.","Mcintyre, A.; Ounit, R.; Afshinnekoo, E.; Prill, R.; Henaff, E.; Alexander, N.; Minot, S.; Danko, D.; Foox, J.; Ahsanuddin, S.; Tighe, S.; Hasan, N. A.; Subramanian, P.; Moffat, K.; Levy, S.; Lonardi, S.; Greenfield, N.; Colwell, R.; Rosen, G.; Mason, C. E.",28/06/2017,Genomics,10.1101/156919,2,Christopher Mason,Weill Cornell Medical College,https://www.biorxiv.org/content/10.1101/156919v2?versioned=TRUE,https://www.biorxiv.org/content/10.1101/156919v2.full.pdf,cc_by_nc_nd,10.1186/s13059-017-1299-7,
