"month","n","new_papers_cumulative"
2019-06-01,32,32
2019-07-01,116,148
2019-08-01,113,261
2019-09-01,118,379
2019-10-01,177,556
2019-11-01,191,747
2019-12-01,166,913
2020-01-01,224,1137
2020-02-01,454,1591
2020-03-01,839,2430
2020-04-01,1568,3998
2020-05-01,2082,6080
2020-06-01,1615,7695
2020-07-01,1383,9078
2020-08-01,1152,10230
2020-09-01,1399,11629
2020-10-01,1102,12731
2020-11-01,1232,13963
2020-12-01,1019,14982
2021-01-01,1098,16080
2021-02-01,1013,17093
2021-03-01,1422,18515
2021-04-01,1105,19620
2021-05-01,1065,20685
2021-06-01,1019,21704
2021-07-01,1215,22919
2021-08-01,372,23291
