"words","date","time"
5500,"20201124","1803"
5500,"20201125","1803"
6010,"20201126","1809"
6039,"20201127","917"
6822,"20201130","1854"
6882,"20201201","1552"
6882,"20201202","1250"
5964,"20201204","1738"
6419,"20201207","1832"
6960,"20201208","1829"
7141,"20201209","1711"
8080,"20201210","1706"
8359,"20201211","1823"
8390,"20201215","1314"
8404,"20210104","926"
10447,"20210105","1538"
10777,"20210106","1034"
10787,"20210111","1546"
10787,"20210202","1259"
10787,"20210203","1533"
10764,"20210215","1555"
11095,"20210301","1134"
10647,"20210303","1458"
10647,"20210304","1556"
10647,"20210310","1614"
10750,"20210311","955"
11466,"20210315","1738"
11402,"20210316","1201"
11510,"20210317","1124"
11549,"20210318","1646"
11926,"20210319","1537"
12221,"20210322","1655"
12874,"20210323","1550"
13180,"20210324","1506"
13180,"20210325","1255"
13180,"20210326","1335"
13617,"20210329","1735"
13867,"20210330","1148"
13909,"20210331","1741"
14077,"20210401","1647"
14820,"20210406","2023"
15928,"20210407","2112"
15582,"20210408","2206"
15911,"20210409","1523"
16471,"20210412","1733"
16755,"20210413","1744"
16751,"20210414","1609"
16729,"20210415","2206"
17025,"20210416","1128"
17586,"20210426","1603"
17751,"20210427","1624"
17751,"20210428","1517"
18341,"20210504","1718"
18341,"20210505","1057"
17987,"20210507","1355"
17842,"20210510","1822"
17984,"20210511","1824"
18009,"20210512","1713"
18009,"20210513","1700"
18010,"20210514","1232"
18020,"20210517","937"
18506,"20210520","1808"
19047,"20210521","1759"
18958,"20210524","1641"
20182,"20210525","2003"
20122,"20210527","1240"
20149,"20210528","1108"
20449,"20210601","1807"
20578,"20210602","1813"
20578,"20210603","1724"
20893,"20210604","1842"
21541,"20210607","1623"
21541,"20210608","902"
21622,"20210609","1729"
21915,"20210613","1254"
22223,"20210614","1744"
22499,"20210615","1634"
22499,"20210617","1448"
22499,"20210708","1233"
22884,"20210712","1651"
22894,"20210713","958"
22893,"20210715","1005"
22889,"20210716","1856"
23060,"20210719","1650"
23085,"20210723","1635"
23329,"20210726","1902"
23333,"20210727","2130"
23348,"20210803","1137"
23389,"20210804","1712"
23568,"20210806","1629"
23835,"20210809","1658"
23413,"20210810","2228"
23413,"20210811","906"
23413,"20210812","1731"
24069,"20210813","1957"
24411,"20210816","1735"
25005,"20210817","1818"
25051,"20210825","1026"
25263,"20210830","1508"
25345,"20210901","1532"
25503,"20210902","1351"
25907,"20210915","2038"
26162,"20210916","2247"
26224,"20210917","2220"
26227,"20210918","2247"
26161,"20210920","1736"
26405,"20210922","1650"
26723,"20210924","2005"
26826,"20210925","1925"
27279,"20210926","2058"
27411,"20210927","2330"
28508,"20210928","1844"
32166,"20210929","1845"
32166,"20210930","2048"
33796,"20211001","1815"
34092,"20211005","2231"
33958,"20211006","2132"
34320,"20211007","743"
34662,"20211008","1727"
34662,"20211011","1223"
34662,"20211012","943"
35707,"20211013","2143"
35708,"20211018","1548"
35865,"20211019","1855"
36132,"20211020","2322"
36138,"20211022","1700"
37218,"20211025","2200"
37485,"20211026","1704"
37603,"20211028","1218"
38009,"20211102","1744"
38250,"20211103","1937"
38566,"20211104","1845"
38647,"20211105","1300"
38660,"20211110","1056"
39586,"20211111","1919"
39966,"20211112","1935"
40440,"20211113","2039"
41048,"20211114","2210"
