Study	Assessor	Popa	Popb	Expa	Expb	Outa	Outb	Tima	Timb
Johnson	1	0.8	1.666666667			0.9	1.111111111	0.7	1.428571429
Johnson	2	0.95	1.052631579			0.7	1.428571429	0.95	1.052631579
Johnson	3	0.95	1.052631579			0.9	1.25	0.95	1
Johnson	4	0.7	1.428571429			1	1	0.6	1
Johnson	5	0.85	1.176470588			0.8	1.25	0.8	1.25
Moore	1	0.7	1.111111111	0.7	1.111111111	0.7	1.111111111	0.6	1
Moore	2	0.9	1.111111111	0.95	1.052631579	0.85	1.052631579	0.85	1.052631579
Moore	3	0.7	0.95	0.85	0.95	0.65	0.95	0.6	0.9
Moore	4	0.7	1.428571429	0.7	1.25	0.6	1.25	0.4	1
Moore	5	0.85	1.176470588	0.75	1.052631579	0.75	1.052631579	0.7	1.052631579
Figueroa-Colon	1	0.7	1.111111111	0.6	1			0.9	1.428571429
Figueroa-Colon	2	0.9	1.111111111	0.85	1.052631579			0.95	1.176470588
Figueroa-Colon	3	0.85	1	0.75	1.333333333			0.95	1.052631579
Figueroa-Colon	4	0.7	1.428571429	0.6	1			1	1.25
Figueroa-Colon	5	0.85	1.176470588	0.7	1			0.95	1.052631579
DeLany	1	0.95	1.333333333	1	1.428571429				
DeLany	2	0.95	1.25	1	1				
DeLany	3	0.8	1.25	1	1.25				
DeLany	4	0.7	1.428571429	0.6	1				
DeLany	5	0.9	1.111111111	0.65	1.111111111				
Treuth	1	0.8	1.25					0.9	2
Treuth	2	0.9	1.111111111					0.9	1.25
Treuth	3	1	1.25					1.052631579	1.25
Treuth	4	0.7	1.428571429					0.9	2
Treuth	5	0.85	1.176470588					0.95	1.176470588
Salbe	1	0.9	1.428571429					0.6	1
Salbe	2	0.9	1.111111111					0.85	1.052631579
Salbe	3	0.75	1.111111111					0.7	0.95
Salbe	4	0.7	2					0.5	0.9
Salbe	5	0.8	1.052631579					0.6	0.95
