Study	Assessor	Sela	Selb	Pera	Perb	Atta	Attb	Deta	Detb	Otha	Othb	Popa	Popb	Inta	Intb	Cona	Conb	Outa	Outb
1	A	0.7	1.111111111	0.8	1	0.8	1	0.8	1.052631579	0.6	1.176470588	0.9	1.052631579			0.9	1.052631579		
1	B	0.8	1.176470588	0.9	1	0.85	1	0.5	1.052631579	0.5	1.428571429	0.85	1			0.85	1.176470588		
1	C	0.9	0.9	0.6	0.9	0.8	1	0.7	0.9	0.5	1.052631579	0.9	1			0.5	0.8		
1	D	0.85	1.111111111	0.95	1	0.9	1	0.9	1.111111111	0.4	1.428571429	0.95	1.111111111			1	1		
2	A	0.5	1.25	0.9	1.428571429	0.7	1.052631579	0.8	1.176470588	0.5	1.333333333	0.8	1.176470588						
2	B	0.6	1.666666667	0.9	1.333333333	0.75	1	0.7	1.052631579	0.6	1	0.85	1.333333333						
2	C	0.5	0.9	0.8	1	1	1	0.8	1.25	0.5	1.25	0.9	1.111111111						
2	D	0.3	1.428571429	0.9	1.25	0.6	1.25	0.8	1.111111111	0.3	1.25	0.75	1.428571429						
3	A	0.7	1.333333333	0.9	1.25	0.95	1.333333333	0.95	1.111111111	0.7	1	0.8	1.333333333						
3	B	0.9	1.111111111	0.95	1	0.9	1.111111111	0.9	1.052631579	1	1	0.9	1						
3	C	0.8	1	0.8	1	0.8	1.333333333	0.9	1.176470588	0.8	1	0.8	1.25						
3	D	0.7	1.052631579	0.9	1.052631579	0.8	1.176470588	1	1.052631579	0.7	1.111111111	0.8	1.25						
4	A	0.6	1.333333333	0.85	1.25	0.75	1.333333333	0.8	1.25	0.8	1.25					0.95	1.25		
4	B	0.7	1.111111111	0.8	1.428571429	0.7	1.111111111	0.7	1.428571429	0.95	1.052631579					0.8	1.25		
4	C	0.75	1.333333333	0.8	1.333333333	0.6	1.333333333	0.8	1.25	0.9	1.25					0.8	1		
4	D	0.5	1.111111111	0.85	1.25	0.8	1.176470588	0.85	1.111111111	0.8	1.052631579					0.9	1		
5	A	0.6	1.25	0.9	1	0.8	1.052631579	0.9	1.052631579	0.6	1.25	1	1.25			0.95	1	1	1
5	B	0.7	1.428571429	0.9	1	0.9	1	0.8	1.176470588	0.7	1.052631579	0.95	1			0.9	1.111111111	1	1
5	C	0.7	1	0.8	1.052631579	0.85	1	1	1.25	0.75	1.25	0.8	1.111111111			0.6	1.176470588	1	1
5	D	0.6	1.428571429	0.9	1.052631579	0.95	1	0.9	1.176470588	0.6	1.052631579	1	1.052631579			0.7	1.111111111	1	1
6	A	0.6	1.428571429	0.9	1.333333333	1	1	0.8	1.25	0.8	1.25	0.9	1.176470588			0.7	1.25	1	1
6	B	0.9	1.052631579	0.85	1	1	1.333333333	0.6	1.176470588	0.7	1.176470588	0.9	1.052631579			0.5	1	1	1
6	C	0.8	1.333333333	0.8	1	1	1.111111111	0.8	1.333333333	0.8	1.25	0.8	1.25			0.5	1.176470588	1	1
6	D	0.4	1.666666667	0.9	0.9	1	1.052631579	0.75	1.176470588	0.95	1.25	0.95	1			0.95	1.111111111	1	1
7	A	0.6	0.9	0.8	1.111111111	1	1.052631579	1	1.428571429	0.6	1					0.9	1	0.9	1.25
7	B	0.7	1.428571429	0.75	1.25	1	1.176470588	0.85	1.428571429	0.7	1					0.9	1.111111111	0.7	1.333333333
7	C	0.7	1.333333333	0.8	1.333333333	0.95	1	0.8	1.25	0.7	1.111111111					0.8	1.25	0.8	1.333333333
7	D	0.5	1.111111111	0.9	1	0.8	1	0.85	1.052631579	0.5	1.052631579					0.95	1.111111111	0.95	1.176470588
8	A	0.5	1.052631579	0.8	1.333333333	0.7	1	0.95	1.176470588	0.5	1.25	0.8	1.111111111			0.9	1.428571429		
8	B	0.5	1.052631579	0.9	1.176470588	0.95	1.333333333	0.85	1.111111111	0.5	1.176470588	0.75	1			0.9	1.25		
8	C	0.6	0.9	0.8	1	0.8	1.176470588	0.7	1.111111111	0.6	1	0.8	1			0.8	1.428571429		
8	D	0.3	0.8	0.9	1	0.85	1.176470588	0.85	1.111111111	0.3	1.176470588	0.95	1.111111111			0.95	1.428571429
