Study	Assessor	loper	hiper	loatt	hiatt	lodet	hidet	lopop	hipop	lodose	hidose	lodoset	hidoset	lotim	hitim	lodel	hidel	loout	hiout
1	A					0.5	0.9			1.052631579	1.428571429					1	1.25	0.7	1.176470588
1	B					0.67	1.111111111			1.052631579	2					0.9	1.111111111	0.6	1.111111111
1	C					0.7	1			1	1.25					1.111111111	1.333333333	0.7	0.9
1	D					0.7	1			1.052631579	1.538461538					1	1.111111111	0.7	1
2	A					0.75	0.95			1.176470588	1.666666667			0.6	0.9	1	1.333333333	0.7	1.176470588
2	B					0.73	1.111111111			1.052631579	1.428571429			0.5	1	0.9	1.111111111	0.7	1.111111111
2	C					0.7	1			1	1.25			0.7	0.9	0.9	1.25	1	1.25
2	D					0.8	1			1.111111111	1.428571429			0.75	1	0.95	1.052631579	0.9	1.111111111
3	A															0.75	1.333333333	0.65	0.9
3	B															1	1.666666667	0.8	1.176470588
3	C															1	1.25	0.9	0.9
3	D															1.052631579	1.176470588	0.9	0.8
4	A			0.85	1.428571429			0.6	1.25	0.8	1							0.7	1.052631579
4	B			0.95	1.428571429			0.6	1	0.95	1							0.85	1
4	C			1	1.25			0.4	1.111111111	0.8	0.7							0.8	0.9
4	D			1.052631579	1.176470588			0.55	1.25	0.75	0.85							0.9	1.111111111
5	A	0.3	1.176470588													0.7	1.052631579		
5	B	0.6	1.111111111													0.95	1.052631579		
5	C	0.7	0.9													0.8	0.9		
5	D	0.55	1													0.95	1.052631579		
6	A	0.3	1.176470588													0.7	0.9		
6	B	0.9	1.111111111													0.7	1		
6	C	0.4	1.25													0.7	0.95		
6	D	0.8	1.111111111													0.5	0.9		
7	A							0.75	1.052631579							1	1.666666667		
7	B							0.8	1.25							1	1.25		
7	C							0.9	1.111111111							1	1.25		
7	D							1	1.428571429							1.052631579	1.333333333		
8	A											0.7	1.052631579			1	1.25	0.7	1.111111111
8	B											0.7	1.25			0.8	1.176470588	0.8	1.176470588
8	C											0.9	1.111111111			1	1.111111111	0.9	1.25
8	D											0.8	1.111111111			1.052631579	1.333333333	0.9	1.25
